// cosine fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -2.066  0.248  2.083 -0.738 -0.794  0.518 -1.383  0.307 -0.055  3.701  0.219  1.102
[a:1][c:2]!@;-[NX3H1:3][CX4&r:4]([C&r])([C&r])  0.011  1.49   2.282 -0.678  0.016  1.464  0.348  0.636  2.601 -0.004 -0.083  1.331
[cH1:1][c:2]([cH1])!@;-[NX3:3][CX4:4] -0.085  0.687 -1.489  1.133  0.041  1.401 -0.436  0.341  0.044  1.461  0.549 -0.494
[cH0:1][c:2]([cH,nX2H0])!@;-[NX3H1:3][CX4:4]  0.838 -0.074 -0.89   1.266 -0.004  1.768  1.444  0.059  0.066  0.734  0.287  0.188
[cH0:1][c:2]([cH,nX2H0])!@;-[NX3H0:3][CX4:4]  4.278  0.234 -1.087  1.042  0.071  3.635  2.941  0.009  1.385 -0.133  1.886 -0.145
[cH0:1][c:2]([cH0])!@;-[NX3:3][CX4:4] -0.491 -0.1   -0.191  2.     0.319  1.519  1.333  0.046 -0.641  0.249  1.03  -0.039
[c:1][c:2](c)!@;-[NX3:3][CX4:4]  1.879 -0.019  0.09   1.401  0.061  0.238  2.175  0.032  0.023  1.655 -0.368  0.213
[cH1:1][c:2]([cH1])!@;-[NX3:3][a:4] -0.107  0.463 -0.493  1.412 -0.111  0.492  0.926  0.016  0.022  1.343  0.632 -0.021
[cH1:1][c:2]([cH0])!@;-[NX3:3][a:4]  2.148e-01 -1.640e-01  8.854e-01 -1.362e+00  1.487e-02  1.870e+00  2.855e-01  1.535e+00 -8.058e-04  1.160e+00  2.234e-01  9.899e-01
[cH0:1][c:2]([cH0])!@;-[NX3:3][a:4] -1.043  0.58   1.278 -0.591  1.52  -0.497  0.245  2.055  0.148  0.911  0.057  1.759
[cH0:1][a:2]!@;-[NX3H0:3][CX3:4]=O -0.21  -0.274  0.123 -0.768 -1.574 -0.048  0.414  1.621 -0.01   1.572 -0.009  1.603
